Name,properties.title,type,geometry.type,geometry.coordinates,properties.use,properties.state,properties.attributes,properties.details.Ptherm,properties.details.Pel,properties.details.Tmax,properties.details.Teufe,properties.details.Förderrate,properties.details.Inbetriebnahme,best_match_name,Status,Bundesland,Art der Nutzung,Mwtherm (installierte Leistung geothermisch),MWel,max. Temperatur in °C,Teufe in m (TVD),Förderrate (l/s) (maximal),Jahresproduktion geothermische Wärme GWh/a,Jahresproduktion geothermischer Strom GWh/a,Jahr d. Inbetrieb-nahme,Entwicklung/ Aufsuchungserlaubnis,Output,Anzahl der Bohrungen,Hauptnutzung,Nebennutzung,Reservoir ,Betreiberstruktur,Region,News zu Projekten,Betreiber Name,Zusatzinfos
Pfullendorf,Pfullendorf,Feature,Point,"[9.25284896542634, 47.90513081785821]",['Fernwärme'],Betrieb,[],unavailable MW,0 MW,75 °C,1530 m,25 l/s,kein Eintrag,Pfullendorf,A_Projekt in Betrieb,Baden-Württemberg,Hydrogeothermie,,,75,1530,25,,,2020,,Wärme,Dublette,1 Kaserne wird beheizt,,Dolomit,Bund ,Molassebecken,,,
Poing,Poing,Feature,Point,"[11.791471691465471, 48.16723139267549]",['Fernwärme'],Betrieb,[],9 MW,0 MW,85 °C,2690 m,100 l/s,kein Eintrag,Poing,A_Projekt in Betrieb,Bayern,Hydrogeothermie,10,,85,3014,100,"39,7",,2012,,Wärme,Dublette,Fernwärme,,,kommunal,Molassebecken,,,
Pullach,Pullach,Feature,Point,"[11.525744806831463, 48.067708753419325]",['Fernwärme'],Betrieb,[],"16,5 MW",0 MW,106 °C,3443 m,87 l/s,kein Eintrag,Pullach,A_Projekt in Betrieb,Bayern,Hydrogeothermie,"16,5",,109,3443,93,70,,2005,2011 weitere Bohrung zur bestehenden Dublette hinzugefügt  ,Wärme,Triplette,Fernwärme,,Kalke und Dolomite,kommunal,Molassebecken,,,
Sauerlach,Sauerlach,Feature,Point,"[11.668797058077113, 47.97278162324089]",['Stromerzeugung'],Betrieb,[],4 MW,0 MW,141 °C,unavailable,120 l/s,kein Eintrag,Sauerlach,A_Projekt in Betrieb,Bayern,Hydrogeothermie,4,5,141,4480,110,"11,9","26,4",2013,,Wärme & Strom,Triplette,Strom,Fernwärme,,kommunal,Molassebecken,,,
Simbach-Braunau,Simbach-Braunau,Feature,Point,"[13.010321196103183, 48.257066211392576]",['Fernwärme'],Betrieb,[],"9,4 MW",0 MW,"81,7 °C","1941,8 m",90 l/s,kein Eintrag,Simbach-Braunau,A_Projekt in Betrieb,Bayern,Hydrogeothermie,"9,4",,"81,7",1942,90,"46,94",,2000,,Wärme,Dublette,Fernwärme,,,kommunal,Molassebecken,,,GER + AUT Gemeinschaftsprojekt
Stralsund,Stralsund,Feature,Point,"[13.035525256557323, 54.31021272312311]",['Gebäudeheizung'],Inaktiv,[],unavailable MW,0 MW,58 °C,1603 m,28 l/s,kein Eintrag,Stralsund,D_Projekt in Planung,Mecklenburg-Vorpommern,"3 Sonden vorhanden, nicht in Nutzung",,,,,,,,,,,,,,,,Nord.Becken,,,
Straubing,Straubing,Feature,Point,"[12.555202373991184, 48.875263721244984]",['Fernwärme'],Betrieb,[],"2,1 MW",0 MW,"36,5 °C","824,8 m","31,4 l/s",kein Eintrag,Straubing,A_Projekt in Betrieb,Bayern,Hydrogeothermie,"2,1",,"36,5","824,8","31,4","2,9",,1999,,Wärme,Dublette,2 Nahwärmenetze,Balneologie,"Kalkstein, dolomit.",kommunal,Molassebecken,"GeotIS fragt es nicht mehr ab, da sie nicht antworten",,
Taufkirchen/Oberhaching,Taufkirchen,Feature,Point,"[11.620680194130214, 48.02347753735028]",['Fernwärme'],Betrieb,[],40 MW,0 MW,136 °C,3696 m,120 l/s,kein Eintrag,Taufkirchen/Oberhaching,A_Projekt in Betrieb,Bayern,Hydrogeothermie,40,0,136,3696,120,101,,2015,,Wärme,Dublette,"Strom: Die Kalina Anlage (errichtet 2018) wurde abgebaut, 2024 soll die neue ORC-Anlage in Betrieb gehen. Deshalb zur Zeit 0",Fernwärme,,kommunal,Molassebecken,,,
Traunreut,Traunreut,Feature,Point,"[12.579492009460596, 47.973032611148284]",['Fernwärme'],Betrieb,[],12 MW,0 MW,120 °C,4560 m,"173,9 l/s",kein Eintrag,Traunreut,A_Projekt in Betrieb,Bayern,Hydrogeothermie,"13,5","5,5",120,"4645,8","168,6","34,3","27,6",2014,2016 Fertigstellung einer ORC-Anlage -> Heizkraftwerk,Wärme & Strom,Dublette,Fernwärme,Strom,,kommunal,Molassebecken,,,
Unterhaching,Unterhaching,Feature,Point,"[11.597498830573379, 48.05707719867894]",['Fernwärme'],Betrieb,[],38 MW,0 MW,"123,7 °C",3350 m,140 l/s,kein Eintrag,Unterhaching,A_Projekt in Betrieb,Bayern,Hydrogeothermie,38,,"123,7",3350,140,"183,7",,2007,2009-2017 Stromproduktion durch Kalina-Anlage,Wärme,Dublette,Fernwärme,,,kommunal,Molassebecken,,,
Unterschleißheim,Unterschleißheim,Feature,Point,"[11.580536621795996, 48.27229792099072]",['Fernwärme'],Betrieb,[],7 MW,0 MW,80 °C,1960 m,100 l/s,kein Eintrag,Unterschleißheim,A_Projekt in Betrieb,Bayern,Hydrogeothermie,7,,80,1960,100,"40,2",,2003,,Wärme,Dublette,Fernwärme,Balneologie,Kalkstein,privater Investor,Molassebecken,,,
Waldkraiburg,Waldkraiburg,Feature,Point,"[12.420294318053308, 48.20130287457706]",['Fernwärme'],Betrieb,[],14 MW,0 MW,"111,5 °C",unavailable,80 l/s,kein Eintrag,Waldkraiburg,A_Projekt in Betrieb,Bayern,Hydrogeothermie,14,,"111,5",2718,80,41,,2012,,Wärme,Dublette,Fernwärme,,,kommunal,Molassebecken,,,
Waren,Waren / Müritz,Feature,Point,"[12.706866064335136, 53.50846808868685]",['Fernwärme'],Betrieb,[],"1,3 MW",0 MW,63 °C,1547 m,17 l/s,kein Eintrag,Waren,A_Projekt in Betrieb,Mecklenburg-Vorpommern,Hydrogeothermie,"1,3",,63,1565,17,"1,34",,1984,Seit 2012 auch Balneologie,Wärme,Dublette,Fernwärme,Balneologie,Sandstein,kommunal,Nord.Becken,,,
Weinheim,Weinheim (Miramar),Feature,Point,"[8.641849987829817, 49.53062084863661]",['Gebäudeheizung'],Betrieb,[],"1,1 MW",0 MW,65 °C,1150 m,10 l/s,kein Eintrag,Weinheim,A_Projekt in Betrieb,Baden-Württemberg,Hydrogeothermie,"1,1",,65,1150,10,"5,65",,2005,,Wärme,,"Gebäudeheizung für 1 Gebäude, Sole für Therme",,,,Oberrheingraben,,,
